ACS Code,Area of Operations,Task,Type,Description
PA.V.B.S3a,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"a. Rectangular course: enter a left or right pattern, 600 to 1,000 feet above ground level (AGL) at an appropriate distance from the selected reference area, 45° to the downwind leg"
PA.V.B.S3b,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"b. S-turns: enter perpendicular to the selected reference line, 600 to 1,000 feet AGL at an appropriate distance from the selected reference area"
PA.V.B.S3c,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"c. Turns around a point: enter at an appropriate distance from the reference point, 600 to 1,000 feet AGL at an appropriate distance from the selected reference area"
PA.V.B.S4,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"Apply adequate wind-drift correction during straight and turning flight to maintain a constant ground track around a rectangular reference area, or to maintain a constant radius turn on each side of a selected reference line or point."
PA.V.B.S5,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"If performing S-Turns, reverse the turn directly over the selected reference line; if performing turns around a point, complete turns in either direction, as specified by the evaluator."
PA.V.B.S6,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"Divide attention between airplane control, traffic avoidance and the ground track while maintaining coordinated flight."
PA.V.B.S7,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,Maintain altitude ±100 feet; maintain airspeed ±10 knots.
PA.VI.A.K1,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Pilotage and dead reckoning.
PA.VI.A.K2,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Magnetic compass errors.
PA.VI.A.K3,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Topography.
PA.VI.A.K4,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Selection of appropriate:
PA.VI.A.K4a,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,a. Route
PA.VI.A.K4b,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,b. Altitude(s)
PA.VI.A.K4c,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,c. Checkpoints
PA.VI.A.K5,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,"Plotting a course, including:"
PA.VI.A.K5a,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,"a. Determining heading, speed, and course"
PA.VI.A.K5b,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,b. Wind correction angle
PA.VI.A.K5c,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,"c. Estimating time, speed, and distance"
PA.VI.A.K5d,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,d. True airspeed and density altitude
PA.VI.A.K6,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Power setting selection.
PA.VI.A.K7,VI. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Planned calculations versus actual results and required corrections.
PA.VI.A.R1 ,VI. Navigation,Task A. Pilotage and Dead Reckoning,Risk Management,Collision hazards.
PA.VI.A.R2,VI. Navigation,Task A. Pilotage and Dead Reckoning,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.VI.A.R3,VI. Navigation,Task A. Pilotage and Dead Reckoning,Risk Management,"Unplanned fuel/power consumption, if applicable."
PA.VI.A.S1 ,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Prepare and use a flight log.
PA.VI.A.S2,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Navigate by pilotage.
PA.VI.A.S3,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Navigate by means of pre-computed headings, groundspeeds, elapsed time, and reference to landmarks or checkpoints."
PA.VI.A.S4,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Use the magnetic direction indicator in navigation, including turns to headings."
PA.VI.A.S5,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Verify position within three nautical miles of the flight-planned route.
PA.VI.A.S6,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Arrive at the en route checkpoints within five minutes of the initial or revised estimated time of arrival (ETA) and provide a destination estimate.
PA.VI.A.S7,VI. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Maintain the selected altitude, ±200 feet and heading, ±15°."
PA.VI.B.K1,VI. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Ground-based navigation (identification, orientation, course determination, equipment, tests, regulations, interference, appropriate use of navigation data, and signal integrity)."
PA.VI.B.K2,VI. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Satellite-based navigation (e.g., equipment, regulations, authorized use of databases, and Receiver Autonomous Integrity Monitoring (RAIM))."
PA.VI.B.K3,VI. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Radar assistance to visual flight rules (VFR) aircraft (e.g., operations, equipment, available services, traffic advisories)."
PA.VI.B.K4,VI. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Transponder (Mode(s) A, C, and S) and Automatic Dependent Surveillance-Broadcast (ADS-B)."
PA.VI.B.R1 ,VI. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,Management of automated navigation and autoflight systems.
PA.VI.B.R2,VI. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.VI.B.R3,VI. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,Limitations of the navigation system in use.
PA.VI.B.R4,VI. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,Loss of a navigation signal.
PA.VI.B.R5,VI. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,"Use of an electronic flight bag (EFB), if used."
PA.VI.B.S1 ,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,Use an airborne electronic navigation system.
PA.VI.B.S2,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,Determine the airplane'ss position using the navigation system.
PA.VI.B.S3,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,"Intercept and track a given course, radial, or bearing."
PA.VI.B.S4,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,Recognize and describe the indication of station or waypoint passage.
PA.VI.B.S5,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,"Recognize signal loss or interference and take appropriate action, if applicable."
PA.VI.B.S6,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,Use proper communication procedures when utilizing radar services.
PA.VI.B.S7,VI. Navigation,Task B. Navigation Systems and Radar Services,Skills,"Maintain the selected altitude, ±200 feet and heading, ±15°."
PA.VI.C.K1,VI. Navigation,Task C. Diversion,Knowledge,Selecting an alternate destination.
PA.VI.C.K2,VI. Navigation,Task C. Diversion,Knowledge,Situations that require deviations from flight plan or air traffic control (ATC) instructions.
PA.VI.C.R1,VI. Navigation,Task C. Diversion,Risk Management,Collision hazards.
PA.VI.C.R2,VI. Navigation,Task C. Diversion,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.VI.C.R3,VI. Navigation,Task C. Diversion,Risk Management,Circumstances that would make diversion prudent.
PA.VI.C.R4,VI. Navigation,Task C. Diversion,Risk Management,Selecting an appropriate airport or seaplane base.
PA.VI.C.R5,VI. Navigation,Task C. Diversion,Risk Management,"Using available resources (e.g., automation, ATC, and flight deck planning aids)."
PA.VI.C.S1 ,VI. Navigation,Task C. Diversion,Skills,Select a suitable destination and route for diversion.
PA.VI.C.S2,VI. Navigation,Task C. Diversion,Skills,"Make a reasonable estimate of heading, groundspeed, arrival time, and fuel required to the ‚Äúdivert to‚Äù destination."
PA.VI.C.S3,VI. Navigation,Task C. Diversion,Skills,"Maintain the selected altitude, ±200 feet and heading, ±15°."
PA.VI.C.S4,VI. Navigation,Task C. Diversion,Skills,Update/interpret weather in flight.
PA.VI.C.S5,VI. Navigation,Task C. Diversion,Skills,"Use displays of digital weather and aeronautical information, as applicable to maintain situational awareness."
PA.VI.C.S6,VI. Navigation,Task C. Diversion,Skills,Promptly divert toward the destination.
PA.VI.D.K1,VI. Navigation,Task D. Lost Procedures,Knowledge,Methods to determine position.
PA.VI.D.K2,VI. Navigation,Task D. Lost Procedures,Knowledge,"Assistance available if lost (e.g., radar services, communication procedures)."
PA.VI.D.R1,VI. Navigation,Task D. Lost Procedures,Risk Management,Collision hazards.
PA.VI.D.R2,VI. Navigation,Task D. Lost Procedures,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.VI.D.R3,VI. Navigation,Task D. Lost Procedures,Risk Management,Recording times over waypoints.
PA.VI.D.R4,VI. Navigation,Task D. Lost Procedures,Risk Management,When to seek assistance or declare an emergency in a deteriorating situation.
PA.VI.D.S1,VI. Navigation,Task D. Lost Procedures,Skills,Use an appropriate method to determine position.
PA.VI.D.S2,VI. Navigation,Task D. Lost Procedures,Skills,Maintain an appropriate heading and climb as necessary.
PA.VI.D.S3,VI. Navigation,Task D. Lost Procedures,Skills,Identify prominent landmarks.
PA.VI.D.S4,VI. Navigation,Task D. Lost Procedures,Skills,Use navigation systems/facilities or contact an ATC facility for assistance.
PA.VI.D.S5,VI. Navigation,Task D. Lost Procedures,Skills,Select an appropriate course of action.
PA.VII.A.K1,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Knowledge,"Aerodynamics associated with slow flight in various airplane configurations, including the relationship between angle of attack, airspeed, load factor, power setting, airplane weight and center of gravity, airplane attitude, and yaw effects."
PA.VII.A.R1,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Risk Management,"Inadvertent slow flight and flight with a stall warning, which could lead to loss of control."
PA.VII.A.R2,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Risk Management,"Range and limitations of stall warning indicators (e.g., aircraft buffet, stall horn, etc.)."
PA.VII.A.R3,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Risk Management,Uncoordinated flight.
PA.VII.A.R4,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Risk Management,"Effect of environmental elements on airplane performance (e.g., turbulence, microbursts, and high- density altitude)."
PA.VII.A.R5,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Risk Management,Collision hazards.
PA.VII.A.R6,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.VII.A.S1,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Skills,Clear the area.
PA.VII.A.S2,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Skills,"Select an entry altitude that allows the Task to be completed no lower than 1,500 feet above ground level (AGL) (ASEL, ASES) or 3,000 feet AGL (AMEL, AMES)."
PA.VII.A.S3,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Skills,"Establish and maintain an airspeed at which any further increase in angle of attack, increase in load factor, or reduction in power, would result in a stall warning (e.g., aircraft buffet, stall horn, etc.)."
PA.VII.A.S4,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Skills,"Accomplish coordinated straight-and-level flight, turns, climbs, and descents with the aircraft configured as specified by the evaluator without a stall warning (e.g., aircraft buffet, stall horn, etc.)."
PA.VII.A.S5,VII. Slow Flight and Stalls,Task A. Maneuvering During Slow Flight,Skills,"Maintain the specified altitude, ±100 feet; specified heading, ±10°; airspeed, +10/-0 knots; and specified angle of bank, ±10°."
PA.VII.B.K1,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Knowledge,"Aerodynamics associated with stalls in various airplane configurations, including the relationship between angle of attack, airspeed, load factor, power setting, airplane weight and center of gravity, airplane attitude, and yaw effects."
PA.VII.B.K2,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Knowledge,"Stall characteristics as they relate to airplane design, and recognition impending stall and full stall indications using sight, sound, or feel."
PA.VII.B.K3,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Knowledge,Factors and situations that can lead to a power-off stall and actions that can be taken to prevent it.
PA.VII.B.K4,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Knowledge,Fundamentals of stall recovery.
PA.VII.B.R1,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,"Factors and situations that could lead to an inadvertent power-off stall, spin, and loss of control."
PA.VII.B.R2,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,"Range and limitations of stall warning indicators (e.g., aircraft buffet, stall horn, etc.)."
PA.VII.B.R3,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,Stall warning(s) during normal operations.
PA.VII.B.R4,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,Stall recovery procedure.
PA.VII.B.R5,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,"Secondary stalls, accelerated stalls, and cross-control stalls."
PA.VII.B.R6,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,"Effect of environmental elements on airplane performance related to power-off stalls (e.g., turbulence, microbursts, and high-density altitude)."
PA.VII.B.R7,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,Collision hazards.
PA.VII.B.R8,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.VII.B.S1,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Skills,Clear the area.
PA.VII.B.S10,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Skills,"Return to the altitude, heading, and airspeed specified by the evaluator."
PA.VII.B.S11,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Skills,"Use single-pilot resource management (SRM) or crew resource management (CRM), as appropriate."
PA.VII.B.S2,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Skills,"Select an entry altitude that allows the Task to be completed no lower than 1,500 feet above ground level (AGL) (ASEL, ASES) or 3,000 feet AGL (AMEL, AMES)."
PA.VII.B.S3,VII. Slow Flight and Stalls,Task B. Power-Off Stalls,Skills,"Configure the airplane in the approach or landing configuration, as specified by the evaluator, and maintain coordinated flight throughout the maneuver."
